,index,Date,spx,dax,ftse,nikkei,spx_norm,dax_norm,ftse_norm,nikkei_norm,spx_ret,ftse_ret,dax_ret,nikkei_ret,spx_ret_norm,ftse_ret_norm,dax_ret_norm,nikkei_ret_norm,spx_vol,dax_vol,ftse_vol,nikkei_vol
644,644,1996-06-26,664.3900146484375,2572.06005859375,3695.5,22666.80078125,142.23112296483055,115.82569785722924,108.59535703790772,125.06504396048229,-0.6118307114365007,0.4348416904470742,-0.24434324786479777,0.3081397343814851,-102.80521022784252,34.41316913003231,-125.59891944639419,-14892609091.127136,0.37433681945689457,0.059703622777118,0.1890872957508691,0.09495009590469221
645,645,1996-06-27,668.5499877929688,2551.800048828125,3678.800048828125,22501.609375,143.12168067762718,114.91334366788702,108.10461501111152,124.15359330258265,0.6261342062361619,-0.45189963934176847,-0.7876958276278323,-0.7287813037411328,105.20860999576122,-35.76312727162868,-404.89657752782193,35222510629.22583,0.39204404421898853,0.6204647168622957,0.20421328403722042,0.5311221886826253
646,646,1996-06-28,670.6300048828125,2570.43994140625,3711.0,22530.75,143.5669660671601,115.75274030585881,109.05083749632678,124.31437794889565,0.3111236448766208,0.8752840802568773,0.7304605463380742,0.1295046257107968,52.27774794648114,69.26957500265452,375.47612270853534,-6259049226.724832,0.09679792240131366,0.5335726097565179,0.7661222211511276,0.01677144808049357
647,647,1996-07-01,675.8800048828125,2573.43994140625,3725.60009765625,22455.490234375,144.69087428236782,115.88783710984312,109.47987357203203,123.89912896924555,0.7828459749452232,0.3934275843775259,0.11671153842867099,-0.3340313377273252,131.54070811729227,31.135676038063174,59.992830747991654,16143968407.529808,0.6128478204879371,0.013621583202387145,0.15478526414913527,0.11157693458390637
648,648,1996-07-02,673.6099853515625,2565.320068359375,3725.699951171875,22347.970703125,144.20491359668137,115.52218081071275,109.48280785106891,123.30588535131449,-0.33586132373357724,0.0026801995116843003,-0.3155260364241408,-0.47881177443817036,-56.43439165184082,0.21210974275027084,-162.1887634644358,23141308274.474422,0.11280282878007078,0.09955667966152822,7.183469422432761e-06,0.22926071534062933
649,649,1996-07-03,672.4000244140625,2566.320068359375,3714.10009765625,22379.01953125,143.94588787520772,115.56721307870752,109.14193645772113,123.47719859008379,-0.17962336720238614,-0.31134695943446644,0.03898149054903932,0.13893354585730044,-30.181907645201285,-24.639853557104328,20.03752153641783,-6714755538.587511,0.032264554045123246,0.001519556605424842,0.09693692914908729,0.019302530164482606
650,650,1996-07-04,672.4000244140625,2578.739990234375,3760.60009765625,22292.91015625,143.94588787520772,116.12651032905659,110.50837783297824,123.00208642609931,0.0,1.251985643287945,0.4839584129870511,-0.384777245847423,0.0,99.08156149090381,248.76747877968506,18596553674.158375,0.0,0.23421574550094512,1.5674680509991294,0.14805352892192822
651,651,1996-07-05,657.4400024414062,2568.7900390625,3743.199951171875,22232.419921875,140.74327995239696,115.67844146134986,109.99705998154201,122.6683289675899,-2.224869338113511,-0.46269600682133927,-0.3858454597809535,-0.2713429245039145,-373.8422340670276,-36.61754677239565,-198.3348148363822,13114193508.316431,4.950043571677653,0.14887671883357542,0.21408759472841282,0.07362698267833705
652,652,1996-07-08,652.5399780273438,2561.510009765625,3741.5,21924.939453125,139.69429372502873,115.35060523104323,109.94710549515135,120.97179231416774,-0.7453188725763948,-0.04541438325630365,-0.2834030491465134,-1.3830274429436407,-125.23507229981081,-3.594073167934903,-145.67669477943275,66842684574.26945,0.5555002218185483,0.08031728826554108,0.0020624662065504332,1.9127649079352251
653,653,1996-07-09,654.75,2562.239990234375,3752.300048828125,21919.8203125,140.16741026804928,115.38347790714295,110.2644739590986,120.94354723655472,0.33867993488112536,0.28865558808299774,0.028498052553649345,-0.023348482379825786,56.90799963875257,22.84406898247531,14.648755954350973,1128448499.6775162,0.11470409829108331,0.0008121389993505599,0.08332204853154127,0.0005451516294410352
654,654,1996-07-10,656.0599975585938,2573.0,3765.800048828125,21778.939453125,140.44785160481226,115.86802555053485,110.66118274546358,120.16623106207722,0.2000759921487294,0.35977933065922674,0.4199454308197348,-0.6427099189981078,33.61853867404145,28.472768889147552,215.863105685631,31062620346.063126,0.040030402634298426,0.17635416486637265,0.1294411667696012,0.4130760399785543
655,655,1996-07-11,645.6699829101562,2561.949951171875,3749.0,21892.580078125,138.22358059157273,115.3704167903515,110.1674992653541,120.79324807689468,-1.5836988517973993,-0.44612163711009734,-0.4294616722940181,0.5217913629109061,-266.10709523613394,-35.305858862457136,-220.75470656597253,-25218541875.349583,2.508102053184401,0.1844373279695746,0.19902451509779337,0.2722662264084209
656,656,1996-07-12,646.1900024414062,2548.969970703125,3728.300048828125,21656.44921875,138.33490520552328,114.78589883131589,109.55921389444975,119.49038594857046,0.08053952406246179,-0.5521459368331594,-0.5066445760508631,-1.078588537908065,13.532963527528153,-43.69657262891246,-260.4287691656429,52128939156.378845,0.006486614936207861,0.25668872644175883,0.30486513556136724,1.1633532341066575
657,657,1996-07-15,629.7999877929688,2529.5,3698.300048828125,21753.419921875,134.82616766061776,113.90912189276253,108.6776388136387,120.02542595559424,-2.536407958419884,-0.8046562671217838,-0.7638368018025088,0.4477682474421707,-426.1897098573349,-63.68012272128889,-392.63240452983354,-21640952881.20043,6.4333653315357235,0.5834466597878851,0.6474717082183635,0.200496403417433
658,658,1996-07-16,628.3699951171875,2475.97998046875,3632.300048828125,21406.349609375,134.520038038523,111.49899403014612,106.73817363585438,118.11045064394389,-0.22705504977738045,-1.7846037132902004,-2.1158339407491566,-1.5954747058001262,-38.151798674590495,-141.23270782154728,-1087.59484458169,77110409522.34314,0.05155399562940871,4.4767532648261055,3.184810413489172,2.545539536847999
